symbol,current_ratio,gross_margin,operating_margin,debt_to_equity,price_to_sales,volume,return_1m,return_6m,stochrsi,current_ratio_rank,gross_margin_rank,operating_margin_rank,debt_to_equity_rank,price_to_sales_rank,volume_rank,return_1m_rank,return_6m_rank,stochrsi_rank
HLNE,2.08,0.6133390351293991,0.4545,49.22,9.615596102408489,235162.6984126984,0.011117802645864705,0.3752678135765448,72.11361470748612,0.5243358345163253,0.61690754306078,0.8987690611794966,0.544893762851268,0.24516908212560387,0.3498070916773838,0.5133382734346054,0.5377811959238608,0.22855926792934667
HLT,1.73,0.6125,0.0288,,21.5457265625,3647285.8870967743,0.21909342849516023,0.35201303522297955,89.35760260196912,0.4393632123301561,0.6163136012670758,0.46371486312695204,0.0,0.12580515297906603,0.9035458386918979,0.890329751759911,0.5164391463180158,0.4066822728240051
HMC,1.28,0.20367283611947706,0.0,93.07,0.003921667775982622,835363.8888888889,0.04576087207306734,0.1633780333353958,80.86034384462204,0.29851957006692353,0.20372203524054644,0.33951864780451957,0.34544208361891704,0.9901368760064412,0.6382509645416131,0.6017043349388662,0.32378388771390115,0.2960204298786976
HMG,4.45,-0.5649895311211217,-14.6712,3.24,160.20557071251824,981.7460317460317,0.0373443819205197,0.34794997389395865,99.99999999999999,0.7746907321030218,0.039398138982379725,0.02480249862208341,0.9009595613433858,0.032407407407407406,0.004041888664339519,0.584290477954798,0.5135550855604691,0.7761225792721855
HMHC,1.12,0.3949376122378531,-0.1137,868.17,0.7716700922564663,2729690.476190476,0.0954860576462988,1.9764152280203926,99.99999999999999,0.24204015412695193,0.4232825183132053,0.19217343376814258,0.027416038382453736,0.8246779388083736,0.8664339518647804,0.7100778065950352,0.9578927129398193,0.7761225792721855
HMLP,0.71,0.8317749171873035,0.6174000000000001,93.15,3.7176554206399106,199945.6349206349,0.06961177985698086,0.5108910430424554,100.0,0.12583654431149868,0.7535141556127499,0.9287157817380122,0.3449851496458762,0.4579307568438003,0.31930920448282196,0.6522786217117451,0.6458373389732743,0.8830602255799106
HMN,2.61,0.33348010326294736,0.141,58.17,1.3850485350806478,216494.44444444444,0.13464528500145345,0.24655200534685373,76.18060244939647,0.6139728249847901,0.3464660463274599,0.6708616571743524,0.4914324880054832,0.7051127214170693,0.33547675914018005,0.7782512041496851,0.4199192462987887,0.25771440732070655
HMNF,,1.0,0.3474,,2.329473288669129,5416.666666666667,0.06315793489155008,0.4175439131887335,99.99999999999999,0.0,0.8985349435755295,0.8421826198787433,0.0,0.5841384863123994,0.021495498805805622,0.6387550944794368,0.5729667371659296,0.7761225792721855
HMPT,2.51,0.9047606196362066,0.5921,585.49,13.828288062676915,605273.0769230769,-0.049785402806667434,,,0.5984587304806327,0.7768758661651158,0.9244901708616572,0.04340872743888508,0.19122383252818034,0.5677016351276869,0.3160429788810671,0.0,0.0
HMST,,1.0,0.3321,,3.034047553511709,155903.96825396825,0.16691508944025246,0.7255213910346066,100.0,0.0,0.8985349435755295,0.8344662869740952,0.0,0.517512077294686,0.27760426235531876,0.8280844757317525,0.7704287636992886,0.8830602255799106
HMSY,4.88,0.3534041406065503,0.1384999999999999,27.36,4.832996405445639,793239.2857142857,-0.003799169482917364,0.39211216974461993,99.86408801548664,0.7964915838572297,0.37299544644624827,0.6674627962520668,0.6748914781814028,0.3830515297906602,0.6268601873966563,0.45813264171915524,0.5523937704287637,0.7518620983187912
HMTV,,0.6804622182241507,0.2879,93.88,1.7363795468082805,47494.04761904762,0.2352381206694103,0.5349113088508766,93.86690279799791,0.0,0.6612551969906949,0.8073672607018189,0.3427004797806717,0.6547906602254429,0.13246371486312694,0.906817339755465,0.660642184195347,0.5088316663119813
HMY,1.3,0.27723724403213035,0.0,15.88,0.07452110263311104,7224091.666666667,0.0,-0.302100140270238,15.220419744534645,0.3036909349016427,0.286477925163334,0.33951864780451957,0.753598355037697,0.9736312399355878,0.9557229469042807,0.47248981104112636,0.02787925398961738,0.03362417535645882
HNGR,1.53,0.33353343654796985,0.0504999999999999,1260.74,0.9141671989893202,195301.5873015873,0.05357923973771905,0.32982253623222113,80.80759038911475,0.38014601500709794,0.3466640269253613,0.5098291383428256,0.01644962302947224,0.7936795491143317,0.31416498254638986,0.618377176732123,0.4962507210151894,0.29538199616939775
HNI,1.13,0.368791047386622,0.0538999999999999,43.11,0.9071729219290935,281051.1904761905,0.21836524465143858,0.4069637185981356,81.01458561404966,0.2458933279253701,0.39398138982379727,0.5165349990813889,0.5851039524788668,0.7948872785829307,0.38710270071651665,0.8895887365690996,0.5650836377619689,0.2987869759523303
HNNA,3.75,0.4856145341695222,0.3232,0.28,2.0390249484032537,15019.047619047618,0.008338774510403546,-0.01902885964387535,72.2380217516316,0.728351247211519,0.5088101366066126,0.8278522873415396,0.9828649760109665,0.6181561996779388,0.05364688590850634,0.5037050759540571,0.12439915400884445,0.2296233241115131
HNP,0.47,0.17294589282231668,0.0,158.32,0.0317554505215206,25924.20634920635,0.054263626638712203,-0.14141412560227773,38.580093287670365,0.07767187183127154,0.16768956642249058,0.33951864780451957,0.2031071510166781,0.9828904991948471,0.08285871761896013,0.6202297147091516,0.06306479523168622,0.09150883166631198
HNRG,1.09,0.25154260001956374,-0.2716,79.43,0.20625296128795512,319063.49206349207,-0.0057471209243954435,1.6172465720566938,97.56292175068528,0.23048063273169742,0.2569788160760246,0.1501929083226162,0.3890792780443226,0.9446457326892109,0.41429358809480066,0.4516487587995554,0.9400115362430301,0.6452436688657162
HNW,0.08,1.0,0.8548,44.54,9.478761497438024,23507.14285714286,0.0013037097248209673,0.13300187242609485,100.0,0.017744879334820524,0.8985349435755295,0.9799742788903179,0.5741375371258853,0.24818840579710144,0.07789821789454345,0.4768432752871434,0.2935973851182465,0.8830602255799106
HOFT,3.18,0.20075022330240147,0.0509,25.26,0.8031167970702182,63769.04761904762,0.14105716113848188,0.3417012123396337,95.12514941315176,0.6817075643885622,0.19817857849930706,0.5104721660848797,0.686771761480466,0.8176328502415459,0.16406393532978136,0.7886254168210448,0.5081715054797155,0.5473505001064056
HOFV,0.62,-1.8103413142335127,-4.2861,72.08,21.145882429481862,2175944.0476190476,-0.34193547593195117,-0.49379656187411414,7.687561009420196,0.10444128979922937,0.02593545832508414,0.04795149733602792,0.4183230523189399,0.12721417069243157,0.8331802314899871,0.03390144497962208,0.008652182272639877,0.014258352841030006
HOG,1.47,0.2560336643582972,0.034,524.56,1.3930476675931345,3369196.4285714286,0.09811743532201755,0.32099293070576085,85.21214286726173,0.36199553843033866,0.2631162146109681,0.47483005695388575,0.0516335389536212,0.7037037037037037,0.8930736726070182,0.7154501667284179,0.4877908094597193,0.34369014683975313
HOLI,3.12,0.3731406079078508,0.1928,2.13,1.6091708273317742,273284.126984127,-0.0610889807875159,0.3176776774819656,94.77573487693564,0.6727844250659095,0.3995248465650366,0.7274480984751056,0.9264336303404158,0.6712962962962963,0.38103986772000736,0.2945535383475361,0.485483560853682,0.5375611832304745
HOLX,2.46,0.7128116938950989,0.4174,86.08,4.250307807255421,2427604.8387096776,-0.09735794129867037,0.2989583624457881,76.79054884962596,0.5916649766781585,0.686200752326272,0.8848061730663237,0.3666895133653187,0.4174718196457327,0.8502663972074224,0.23768062245276028,0.4677946548740627,0.2617578208129389
HOMB,,1.0,0.48,,7.809675210759352,834429.7619047619,0.23581838828986879,0.7298791144251087,100.0,0.0,0.8985349435755295,0.9055667830240676,0.0,0.2811996779388084,0.6378835201175822,0.9071878473508707,0.7721592001538166,0.8830602255799106
HOME,1.18,0.31617340373043606,0.1174,427.13,1.0878641138033176,3214396.4285714286,0.07799101123980567,0.6346749375919061,92.64492441366882,0.2636382072601906,0.32745990892892496,0.6353114091493661,0.06716929403701165,0.7560386473429952,0.8877457284585707,0.671174509077436,0.7265910401845799,0.4773356033198553
HON,1.47,0.32074026411741274,0.2039,130.43,4.441435226425001,3406584.6774193547,0.06102687045347355,0.2690523623661072,79.1395184662763,0.36199553843033866,0.33320134626806575,0.7365423479698695,0.2529129540781357,0.40519323671497587,0.8943597280911262,0.6344942571322713,0.443568544510671,0.2800595871462013
HONE,,1.0,0.2718,,3.642399022058968,270932.5396825397,0.23763256241849096,0.610928860360396,99.99999999999999,0.0,0.8985349435755295,0.7940474003307,0.0,0.4635668276972625,0.37957009002388387,0.9090403853278992,0.7114016535281676,0.7761225792721855
HOOK,5.65,-1.7871833250180165,-2.8447000000000005,11.48,17.28614602849425,89295.63492063493,-0.006972931999420173,0.08176943665458869,,0.8235651997566417,0.026133438922985548,0.05548410802866067,0.7920950422663925,0.14915458937198067,0.2002572110968216,0.44738792145238976,0.23745433570467217,0.0
HOPE,,1.0,0.3926,,4.428030482736333,909091.9047619047,0.29770994404059103,0.9439325343318912,100.0,0.0,0.8985349435755295,0.871761896013228,0.0,0.40640096618357485,0.6591952967113724,0.9416450537236013,0.8507979234762546,0.8830602255799106
HOTH,19.07,,0.0,,,1413648.5158730159,-0.13839288422723794,-0.1716738151312509,,0.9636990468464814,0.0,0.33951864780451957,0.0,0.0,0.753261069263274,0.18080770655798445,0.053643530090367236,0.0
HOV,4.62,0.1726209306709111,0.071,,0.19533406418567878,192571.42857142858,0.7749222671429727,1.6863237654987784,91.31477357497381,0.7831068748732508,0.1674915858245892,0.5525445526364138,0.0,0.946658615136876,0.3115928715781738,0.992404594294183,0.9446260334551048,0.4447754841455629
HP,4.17,0.2724005386843212,-0.1813,14.92,2.546779704916548,2391977.777777778,0.274718929715122,1.183705197154263,100.0,0.7572500506996552,0.28093446842209463,0.17178026823442955,0.7623943340187342,0.5623993558776168,0.8486128972992835,0.9318266024453501,0.8990578734858681,0.8830602255799106
HPE,0.88,0.31587725150100066,0.0615,105.8,0.6932399377362686,11135158.870967742,0.1712439310146825,0.5530736642844027,100.00000000000001,0.16578787264246603,0.32686596713522076,0.5307734705125849,0.3116289696138908,0.8397745571658615,0.974095168105824,0.8340125972582438,0.6746779465487406,0.9870185145775697
HPF,32.72,1.0,0.8693000000000001,49.84,10.248273079033739,72117.46031746031,0.008105753692603246,0.08251995139377755,87.59232055358977,0.9843845061853579,0.8985349435755295,0.9865882785228735,0.5416952250399817,0.23268921095008052,0.17674076795884622,0.5025935531678399,0.23841568929052107,0.37965524579697807
HPI,30.3,1.0,0.8697,48.79,10.321857233759069,96050.39682539682,0.0001292306099325291,0.004590650649525463,65.9606694587443,0.9815453254917866,0.8985349435755295,0.9867720007348888,0.5482065341558144,0.23087761674718196,0.20778982178945435,0.4736939607261949,0.14458757931167082,0.19238135773568846
HPK,4.29,0.5186206896551724,-1.6571,0.14,52.33530865702136,115451.93650793651,-0.42299654962635247,0.2248519900332573,65.5947334126066,0.7659703914013385,0.5377153039002178,0.07054932941392614,0.9910897875257025,0.06702898550724638,0.23222487598750688,0.012967765839199704,0.39626994808690635,0.18982762289848903
HPP,1.7,0.6273816217182304,0.1588,94.44,5.163773557906298,1866548.8095238095,0.11443590683747096,0.17283028405956702,86.9413273780721,0.4305414723179882,0.6270045535537517,0.6900606283299651,0.341329677861549,0.36594202898550726,0.8067242329597648,0.7476843275287144,0.3351278600269179,0.3692274952117472
HPQ,0.73,0.188825498118508,0.0727,,0.6511523253231342,11677602.41935484,0.2271242433521341,0.5572307266692169,98.93205468865567,0.13019671466234028,0.18352801425460305,0.556678302406761,0.0,0.8476247987117552,0.9762998346500091,0.8988514264542423,0.6781388194577965,0.7061076824856353
HPR,1.07,0.7987393497825019,-4.6768,,0.15718303192465002,2159434.523809524,-0.17895681579120026,-0.34785713468279156,90.00674387842533,0.22317988237679984,0.7392595525638488,0.04648171963990447,0.0,0.9555152979066023,0.8318941760058791,0.1389403482771397,0.01941934243414728,0.42008938071930196
