symbol,most_recent_quarter,shares_outstanding,payout_ratio,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue_per_share,quarterly_revenue_growth,ebitda,diluted_eps,quarterly_earnings_growth,total_cash_per_share,total_debt_to_equity,current_ratio,operating_cash_flow
EBON,2020-06-29,125210000.0,0.0,-0.3121,-0.3259,-999.0,-999.0,0.87,-0.506,-25180000.0,-999.0,-999.0,0.01,145.23,1.47,-19550000.0
WIMI,2020-06-29,66780000.0,0.0,0.1382,0.0,-999.0,-999.0,-999.0,0.068,-999.0,-999.0,-0.726,-999.0,-999.0,-999.0,-999.0
RMRM,2020-06-29,10200000.0,-999.0,0.0,0.6054999999999999,0.0121,-0.2451,0.97,-0.208,-999.0,-999.0,-999.0,0.0,46.74,0.02,11650000.0
ZCMD,2020-06-29,19420000.0,0.0,0.2307999999999999,0.2606,0.1157,0.1848,0.72,0.211,4350000.0,-999.0,-0.157,0.67,0.99,8.69,-999.0
MTP,2020-06-29,12680000.0,0.0,0.0,0.0,-0.3228,-1.5113,-999.0,-0.628,-999.0,-0.848,-999.0,-999.0,77.15,1.4,-999.0
SPXX,2020-06-29,17190000.0,-999.0,-1.6518000000000002,0.5540999999999999,0.0072,-0.0351,0.31,-0.036,-999.0,-0.52,-999.0,0.0,-999.0,0.79,-999.0
WKEY,2020-06-29,17680000.0,0.0,-1.2236,-1.1045,-0.2385,-0.9641,2.4,-0.356,-18690000.0,-999.0,-999.0,1.94,61.43,1.28,-12080000.0
MTSL,2020-06-29,4420000.0,0.0,-0.1226999999999999,-0.0317,-0.0131,-0.2157,0.86,-0.28,-999.0,-0.113,-999.0,0.39,-999.0,1.23,-999.0
RETO,2020-06-29,24140000.0,0.0,-0.8365,-0.5291,-0.0825,-0.3248,0.8,-0.778,-7370000.0,-0.666,-999.0,0.01,52.58,0.94,-4120000.0
MYT,2020-06-29,7940000.0,0.0,-2.4334,-2.8375,-0.0917,-0.1427,0.26,0.276,-2290000.0,-0.634,-999.0,0.95,3.04,6.66,-1900000.0
